Ind1 Ind2 Ind3 Ind4 Ind5 Ind6 Ind7 Ind8 Ind9 Ind10
1-4587 0 0 0 0 0 0 0 0 0 0
1-4051 0 9 93 97 54 43 58 94 0 87
1-3251 0 74 4 83 88 65 33 71 0 0
1-6256 0 0 7 31 53 61 10 36 0 94
1-9306 0 15 98 7 7 82 89 0 0 31
1-6257 0 0 86 42 38 88 55 67 0 57
1-2089 0 22 88 43 67 3 66 97 0 44
1-8415 0 7 11 84 71 11 45 26 0 63
1-9506 0 0 0 0 0 0 0 0 0 0
1-5322 0 79 59 83 11 22 69 70 0 71
1-2859 0 0 45 69 88 44 96 20 0 38
1-8163 0 77 51 84 29 0 74 57 0 92
1-5726 0 1 8 83 60 25 18 56 0 30
1-6200 0 83 10 0 33 70 57 38 0 8
1-9027 0 69 2 61 26 55 46 33 0 0
1-4885 0 63 0 38 56 0 35 45 0 94
1-7536 0 37 57 3 17 34 9 40 0 1
1-6076 0 13 13 76 0 81 39 100 0 78
1-1955 0 65 91 3 49 88 75 5 0 71
1-7729 0 42 44 21 11 4 84 25 0 71
1-8670 0 37 83 47 64 8 70 72 0 35
1-7422 0 54 95 28 95 70 7 40 0 54
1-2051 0 0 66 30 10 20 89 46 0 58
1-8840 0 0 99 20 40 64 63 26 0 68
1-8281 0 53 69 50 72 22 0 29 0 71
1-6050 0 12 82 37 2 32 45 15 0 73
1-5565 0 1 64 17 91 88 80 38 0 0
1-1437 0 17 54 76 52 81 91 94 0 0
1-8920 0 8 33 98 10 0 22 92 0 30
1-7739 0 90 1 67 37 23 73 22 0 18
2-3155 0 13 35 96 0 87 29 97 0 57
2-5338 0 35 34 52 41 39 0 33 0 17
2-1604 0 48 0 54 95 74 28 11 0 4
2-5636 0 96 0 46 27 59 65 40 0 0
2-6839 0 0 45 3 40 70 22 59 0 90
2-6229 0 61 32 0 53 24 55 84 0 54
2-1056 0 16 26 100 23 81 0 99 0 81
2-8265 0 53 29 18 37 42 9 52 0 1
2-8294 0 75 86 62 87 14 0 35 0 0
2-3553 0 48 19 0 96 69 96 24 0 31
2-9715 0 55 71 0 53 36 79 24 0 90
2-4451 0 88 68 80 25 100 53 97 0 56
2-7831 0 93 14 60 35 32 0 96 0 69
2-6478 0 64 50 2 80 78 3 77 0 52
2-2415 0 0 78 0 0 46 59 97 0 59
2-2443 0 0 35 47 0 0 98 18 0 83
2-8613 0 42 45 24 27 56 7 28 0 75
2-5277 0 13 51 10 97 52 92 91 0 7
2-7514 0 27 0 79 63 23 12 20 0 62
2-3376 0 22 93 61 22 21 91 71 0 48
2-7585 0 39 11 52 44 0 56 72 0 18
2-6458 0 19 59 98 27 90 1 37 0 7
2-1134 0 88 59 51 82 89 25 87 0 70
2-9368 0 2 21 54 99 55 77 6 0 18
2-1299 0 38 45 69 36 31 0 13 0 70
2-1395 0 91 71 0 34 36 33 16 0 81
2-3695 0 24 2 98 39 42 54 61 0 13
2-1105 0 81 89 0 2 0 79 1 0 45
2-1883 0 66 74 76 35 74 74 7 0 64
2-9054 0 63 92 0 8 72 100 53 0 2
3-2948 0 0 36 78 21 19 30 29 0 63
3-7572 0 93 77 80 0 0 41 54 0 78
3-4314 0 59 98 62 65 14 54 47 0 20
3-5608 0 41 82 61 53 0 0 16 0 48
3-4951 0 38 80 83 0 61 21 26 0 99
3-8146 0 31 87 56 5 57 49 44 0 34
3-2644 0 31 6 62 74 58 95 4 0 38
3-4596 0 22 99 26 74 13 27 99 0 48
3-8706 0 64 82 5 57 85 31 73 0 16
3-5747 0 47 80 27 43 39 89 5 0 31
3-7819 0 41 84 22 2 99 80 52 0 20
3-4450 0 27 35 82 0 53 48 13 0 18
3-8800 0 47 94 80 0 25 99 50 0 99
3-8536 0 4 37 21 90 46 13 38 0 68
3-7226 0 33 0 55 14 1 7 81 0 99
3-4454 0 73 28 95 0 12 91 88 0 87
3-8541 0 70 85 35 15 73 41 98 0 86
3-7077 0 26 18 56 55 0 45 97 0 88
3-2851 0 54 33 64 65 74 87 12 0 40
3-5655 0 19 85 7 3 34 93 80 0 46
3-2722 0 17 94 0 66 13 79 14 0 81
3-6674 0 0 1 48 25 34 87 7 0 87
3-4085 0 22 33 97 23 16 25 27 0 40
3-8239 0 61 68 74 3 34 1 97 0 96
3-2233 0 16 1 36 2 43 8 7 0 26
3-3760 0 8 13 46 30 49 90 5 0 23
3-3533 0 63 0 18 69 21 28 78 0 40
3-5217 0 12 65 18 69 15 39 56 0 53
3-8524 0 79 68 87 41 44 0 44 0 99
3-1091 0 38 88 0 72 12 100 26 0 19
4-9306 0 68 61 19 16 92 90 57 0 62
4-8071 0 85 39 64 52 60 84 76 0 26
4-8458 0 51 95 1 23 86 16 55 0 68
4-5982 0 41 81 47 56 31 94 72 0 76
4-4869 0 68 17 43 15 7 86 50 0 76
4-2335 0 6 94 0 45 21 29 84 0 71
4-3512 0 94 11 32 89 0 16 38 0 51
4-5311 0 92 63 91 68 0 52 93 0 43
4-7761 0 37 29 36 13 17 77 49 0 41
4-4321 0 33 90 10 72 79 20 40 0 90
4-1790 0 39 15 41 42 28 2 43 0 18
4-8982 0 41 0 85 64 34 50 70 0 43
4-5986 0 100 94 89 20 10 2 60 0 0
4-3914 0 100 25 71 19 61 79 34 0 69
4-8819 0 52 51 11 58 5 69 47 0 58
4-9955 0 41 39 22 18 40 36 29 0 92
4-9657 0 68 6 36 21 13 0 82 0 56
4-8538 0 11 13 3 26 0 93 86 0 30
4-8884 0 89 41 77 42 44 43 9 0 13
4-9245 0 83 45 90 0 77 53 18 0 92
4-4553 0 23 29 75 6 51 86 3 0 4
4-3046 0 36 81 29 72 25 97 48 0 0
4-3884 0 59 43 53 54 19 16 39 0 29
4-7027 0 56 72 29 5 8 75 3 0 94
4-9114 0 83 100 69 0 8 0 59 0 91
4-8323 0 21 90 48 75 80 0 11 0 51
4-1112 0 78 4 13 0 52 57 33 0 87
4-8075 0 95 3 61 88 54 69 0 0 100
4-4410 0 77 0 95 90 47 46 54 0 100
4-7944 0 93 72 19 15 98 3 20 0 66
5-5831 0 33 24 89 11 14 22 42 0 98
5-6394 0 32 73 85 13 0 72 23 0 19
5-2094 0 25 63 42 50 6 15 27 0 64
5-8263 0 5 5 1 89 9 84 66 0 60
5-5106 0 19 74 67 57 77 52 38 0 0
5-9871 0 86 64 57 62 88 5 25 0 0
5-5662 0 58 96 10 18 94 17 8 0 20
5-9776 0 37 68 0 59 35 55 64 0 93
5-9577 0 80 24 93 56 0 84 69 0 91
5-4660 0 35 45 33 50 81 0 86 0 74
5-8142 0 17 71 0 14 35 85 45 0 65
5-4648 0 88 3 9 25 73 0 4 0 33
5-4923 0 28 73 26 49 14 0 83 0 23
5-3306 0 59 40 0 36 37 89 78 0 68
5-3721 0 62 93 0 38 4 91 35 0 79
5-9065 0 27 100 4 85 0 55 38 0 68
5-9662 0 9 26 45 75 68 92 98 0 0
5-6930 0 44 16 15 19 76 16 75 0 48
5-1439 0 44 20 0 41 5 93 73 0 74
5-3855 0 12 7 37 27 35 47 41 0 12
5-2192 0 24 96 34 52 2 90 69 0 78
5-9972 0 58 93 55 79 44 80 18 0 10
5-6017 0 61 86 1 28 73 73 40 0 52
5-5883 0 37 71 40 64 0 12 42 0 56
5-7088 0 26 37 52 98 86 70 18 0 12
5-9162 0 2 28 52 96 38 55 66 0 0
5-1236 0 39 78 48 43 67 55 72 0 36
5-5623 0 21 37 91 24 48 5 15 0 2
5-3369 0 47 63 41 11 40 43 47 0 48
5-1186 0 94 77 47 62 76 10 18 0 39
