Ind1 Ind2 Ind3 Ind4 Ind5 Ind6 Ind7 Ind8 Ind9 Ind10
1-4587 0 0 0 0 0 0 0 0 0 0
1-4051 0 80 90 19 45 4 1 7 0 83
1-3251 0 48 24 97 97 20 54 80 0 0
1-6256 0 0 76 100 58 43 55 15 0 19
1-9306 0 85 56 73 99 71 71 0 0 29
1-6257 0 0 80 23 44 34 97 80 0 98
1-2089 0 22 14 0 77 45 35 33 0 21
1-8415 0 72 57 24 10 62 61 96 0 38
1-9506 0 0 0 0 0 0 0 0 0 0
1-5322 0 62 79 3 32 18 33 83 0 79
1-2859 0 4 1 35 21 45 68 66 0 21
1-8163 0 78 37 93 31 0 58 15 0 80
1-5726 0 27 39 35 89 53 17 48 0 83
1-6200 0 16 83 0 14 100 84 28 0 98
1-9027 0 92 39 100 66 75 24 76 0 0
1-4885 0 19 0 8 38 0 97 16 0 19
1-7536 0 50 6 2 71 97 63 14 0 75
1-6076 0 49 12 21 0 15 74 97 0 99
1-1955 0 42 13 56 94 84 64 4 0 75
1-7729 0 34 24 52 44 66 7 16 0 47
1-8670 0 72 75 86 28 86 33 2 0 5
1-7422 0 21 95 98 79 39 98 83 0 25
1-2051 0 0 10 68 39 23 47 92 0 82
1-8840 0 0 68 44 71 48 78 57 0 73
1-8281 0 27 61 87 89 79 0 75 0 36
1-6050 0 42 63 49 39 78 27 32 0 5
1-5565 0 6 14 59 26 58 78 13 0 0
1-1437 0 67 40 5 95 42 73 6 0 0
1-8920 0 80 82 42 14 0 59 2 0 62
1-7739 0 59 16 63 86 49 15 21 0 52
2-3155 0 86 46 29 0 79 92 11 0 45
2-5338 0 72 34 72 77 3 0 47 0 69
2-1604 0 6 0 36 12 67 4 79 0 42
2-5636 0 57 0 17 86 4 79 65 0 0
2-6839 0 0 6 27 69 92 66 5 0 87
2-6229 0 95 79 0 79 67 20 24 0 14
2-1056 0 98 99 58 39 84 0 43 0 49
2-8265 0 64 84 91 23 85 68 72 0 59
2-8294 0 15 82 64 82 53 0 82 0 0
2-3553 0 77 24 0 66 75 59 64 0 38
2-9715 0 61 74 0 33 49 75 54 0 19
2-4451 0 6 63 55 40 19 50 54 0 75
2-7831 0 60 98 39 99 49 0 73 0 49
2-6478 0 40 6 68 78 100 70 7 0 84
2-2415 0 0 76 56 0 97 37 5 0 34
2-2443 0 0 93 83 0 76 1 74 0 43
2-8613 0 40 28 32 53 9 1 80 0 84
2-5277 0 31 46 47 0 88 0 23 0 34
2-7514 0 31 0 75 78 22 52 85 0 98
2-3376 0 43 87 74 14 55 18 60 0 89
2-7585 0 93 2 8 70 27 96 21 0 71
2-6458 0 80 42 26 12 58 5 2 0 56
2-1134 0 7 59 51 56 13 55 17 0 11
2-9368 0 100 59 68 18 66 2 93 0 64
2-1299 0 23 5 79 93 38 1 32 0 17
2-1395 0 77 65 0 76 78 1 58 0 6
2-3695 0 86 39 73 23 30 59 81 0 3
2-1105 0 81 55 0 76 0 8 19 0 58
2-1883 0 33 38 6 34 98 87 67 0 84
2-9054 0 86 63 0 64 24 26 50 0 71
3-2948 0 0 25 38 7 27 59 39 0 50
3-7572 0 83 92 77 0 0 80 39 0 22
3-4314 0 51 62 5 22 81 32 71 0 62
3-5608 0 20 46 91 27 0 0 34 0 82
3-4951 0 84 0 7 3 78 22 33 0 29
3-8146 0 85 87 30 99 0 80 56 0 86
3-2644 0 30 63 81 80 20 40 81 0 24
3-4596 0 86 86 64 45 50 20 78 0 2
3-8706 0 15 72 26 45 11 40 11 0 11
3-5747 0 17 53 98 15 10 18 71 0 93
3-7819 0 1 69 18 0 60 92 44 0 24
3-4450 0 56 8 30 0 25 84 85 0 55
3-8800 0 68 63 81 0 48 69 97 0 90
3-8536 0 24 74 71 14 80 34 31 0 23
3-7226 0 18 47 7 93 93 9 65 0 8
3-4454 0 95 96 51 0 25 67 24 0 99
3-8541 0 74 20 59 85 29 12 14 0 11
3-7077 0 75 13 66 2 0 36 53 0 16
3-2851 0 14 70 90 11 84 26 50 0 36
3-5655 0 84 85 81 68 64 24 10 0 9
3-2722 0 9 3 0 63 2 89 61 0 98
3-6674 0 0 90 77 75 96 3 68 0 3
3-4085 0 65 73 40 63 6 9 73 0 94
3-8239 0 23 2 44 10 73 39 72 0 90
3-2233 0 16 4 55 82 82 99 76 0 71
3-3760 0 42 0 36 79 79 42 72 0 77
3-3533 0 94 0 81 21 22 0 49 0 14
3-5217 0 97 58 37 44 7 62 31 0 53
3-8524 0 27 6 39 51 68 0 32 0 20
3-1091 0 31 30 0 61 35 85 97 0 54
4-9306 0 64 34 1 87 5 43 21 0 14
4-8071 0 8 7 1 37 15 59 59 0 20
4-8458 0 98 10 42 10 15 83 64 0 88
4-5982 0 3 56 13 56 93 91 46 0 20
4-4869 0 79 41 48 83 8 78 33 0 12
4-2335 0 100 68 0 64 45 86 34 0 96
4-3512 0 94 60 53 53 0 48 32 0 44
4-5311 0 22 75 100 20 0 23 26 0 51
4-7761 0 86 12 62 26 80 70 87 0 86
4-4321 0 7 2 86 16 18 91 39 0 76
4-1790 0 83 7 76 74 48 21 24 0 93
4-8982 0 75 0 15 91 69 14 53 0 70
4-5986 0 72 24 35 27 20 21 20 0 76
4-3914 0 89 91 71 35 30 88 40 0 4
4-8819 0 72 34 30 61 65 8 56 0 62
4-9955 0 8 88 13 14 53 97 33 0 20
4-9657 0 21 7 81 80 72 0 75 0 64
