Ind1 Ind2 Ind3 Ind4 Ind5 Ind6 Ind7 Ind8 Ind9 Ind10
1-4587 0 0 0 0 0 0 0 0 0 0
1-4051 0 89 183 116 99 47 59 101 0 170
1-3251 0 122 28 180 185 85 87 151 0 0
1-6256 0 0 83 131 111 104 65 51 0 113
1-9306 0 100 154 80 106 153 160 0 0 60
1-6257 0 0 166 65 82 122 152 147 0 155
1-2089 0 44 102 43 144 48 101 130 0 65
1-8415 0 79 68 108 81 73 106 122 0 101
1-9506 0 0 0 0 0 0 0 0 0 0
1-5322 0 141 138 86 43 40 102 153 0 150
1-2859 0 4 46 104 109 89 164 86 0 59
1-8163 0 155 88 177 60 0 132 72 0 172
1-5726 0 28 47 118 149 78 35 104 0 113
1-6200 0 99 93 0 47 170 141 66 0 106
1-9027 0 161 41 161 92 130 70 109 0 0
1-4885 0 82 0 46 94 0 132 61 0 113
1-7536 0 87 63 5 88 131 72 54 0 76
1-6076 0 62 25 97 0 96 113 197 0 177
1-1955 0 107 104 59 143 172 139 9 0 146
1-7729 0 76 68 73 55 70 91 41 0 118
1-8670 0 109 158 133 92 94 103 74 0 40
1-7422 0 75 190 126 174 109 105 123 0 79
1-2051 0 0 76 98 49 43 136 138 0 140
1-8840 0 0 167 64 111 112 141 83 0 141
1-8281 0 80 130 137 161 101 0 104 0 107
1-6050 0 54 145 86 41 110 72 47 0 78
1-5565 0 7 78 76 117 146 158 51 0 0
1-1437 0 84 94 81 147 123 164 100 0 0
1-8920 0 88 115 140 24 0 81 94 0 92
1-7739 0 149 17 130 123 72 88 43 0 70
2-3155 0 99 81 125 0 166 121 108 0 102
2-5338 0 107 68 124 118 42 0 80 0 86
2-1604 0 54 0 90 107 141 32 90 0 46
2-5636 0 153 0 63 113 63 144 105 0 0
2-6839 0 0 51 30 109 162 88 64 0 177
2-6229 0 156 111 0 132 91 75 108 0 68
2-1056 0 114 125 158 62 165 0 142 0 130
2-8265 0 117 113 109 60 127 77 124 0 60
2-8294 0 90 168 126 169 67 0 117 0 0
2-3553 0 125 43 0 162 144 155 88 0 69
2-9715 0 116 145 0 86 85 154 78 0 109
2-4451 0 94 131 135 65 119 103 151 0 131
2-7831 0 153 112 99 134 81 0 169 0 118
2-6478 0 104 56 70 158 178 73 84 0 136
2-2415 0 0 154 56 0 143 96 102 0 93
2-2443 0 0 128 130 0 76 99 92 0 126
2-8613 0 82 73 56 80 65 8 108 0 159
2-5277 0 44 97 57 97 140 92 114 0 41
2-7514 0 58 0 154 141 45 64 105 0 160
2-3376 0 65 180 135 36 76 109 131 0 137
2-7585 0 132 13 60 114 27 152 93 0 89
2-6458 0 99 101 124 39 148 6 39 0 63
2-1134 0 95 118 102 138 102 80 104 0 81
2-9368 0 102 80 122 117 121 79 99 0 82
2-1299 0 61 50 148 129 69 1 45 0 87
2-1395 0 168 136 0 110 114 34 74 0 87
2-3695 0 110 41 171 62 72 113 142 0 16
2-1105 0 162 144 0 78 0 87 20 0 103
2-1883 0 99 112 82 69 172 161 74 0 148
2-9054 0 149 155 0 72 96 126 103 0 73
3-2948 0 0 61 116 28 46 89 68 0 113
3-7572 0 176 169 157 0 0 121 93 0 100
3-4314 0 110 160 67 87 95 86 118 0 82
3-5608 0 61 128 152 80 0 0 50 0 130
3-4951 0 122 80 90 3 139 43 59 0 128
3-8146 0 116 174 86 104 57 129 100 0 120
3-2644 0 61 69 143 154 78 135 85 0 62
3-4596 0 108 185 90 119 63 47 177 0 50
3-8706 0 79 154 31 102 96 71 84 0 27
3-5747 0 64 133 125 58 49 107 76 0 124
3-7819 0 42 153 40 2 159 172 96 0 44
3-4450 0 83 43 112 0 78 132 98 0 73
3-8800 0 115 157 161 0 73 168 147 0 189
3-8536 0 28 111 92 104 126 47 69 0 91
3-7226 0 51 47 62 107 94 16 146 0 107
3-4454 0 168 124 146 0 37 158 112 0 186
3-8541 0 144 105 94 100 102 53 112 0 97
3-7077 0 101 31 122 57 0 81 150 0 104
3-2851 0 68 103 154 76 158 113 62 0 76
3-5655 0 103 170 88 71 98 117 90 0 55
3-2722 0 26 97 0 129 15 168 75 0 179
3-6674 0 0 91 125 100 130 90 75 0 90
3-4085 0 87 106 137 86 22 34 100 0 134
3-8239 0 84 70 118 13 107 40 169 0 186
3-2233 0 32 5 91 84 125 107 83 0 97
3-3760 0 50 13 82 109 128 132 77 0 100
3-3533 0 157 0 99 90 43 28 127 0 54
3-5217 0 109 123 55 113 22 101 87 0 106
3-8524 0 106 74 126 92 112 0 76 0 119
3-1091 0 69 118 0 133 47 185 123 0 73
4-9306 0 132 95 20 103 97 133 78 0 76
4-8071 0 93 46 65 89 75 143 135 0 46
